Boardname;BigSmall Trial Count;OneFirst Trial count
board_7_7_1_1.txt;221;29
board_7_7_1_2.txt;8669;15
board_7_7_1_3.txt;20306;30
board_7_7_1_4.txt;6334;1214
board_7_7_1_5.txt;20646;41
board_7_7_1_6.txt;3891;46
board_7_7_1_7.txt;13893;39
board_7_7_1_8.txt;6371;32
board_7_7_1_9.txt;29465;49
board_7_7_1_10.txt;26820;121
board_7_7_2_1.txt;18990;2244
board_7_7_2_2.txt;42686;48
board_7_7_2_3.txt;26906;2397
board_7_7_2_4.txt;16530;38
board_7_7_2_5.txt;6866;127
board_7_7_2_6.txt;6899;103
board_7_7_2_7.txt;289;56
board_7_7_2_8.txt;2855;670
board_7_7_2_9.txt;14836;1537
board_7_7_2_10.txt;373;33
board_7_7_3_1.txt;16070;1316
board_7_7_3_2.txt;24607;608
board_7_7_3_3.txt;78;13
board_7_7_3_4.txt;8880;129
board_7_7_3_5.txt;22095;1555
board_7_7_3_6.txt;14908;349
board_7_7_3_7.txt;973;197
board_7_7_3_8.txt;38956;2871
board_7_7_3_9.txt;471;36
board_7_7_3_10.txt;612;70
board_7_7_4_1.txt;68948;1040
board_7_7_4_2.txt;278;56
board_7_7_4_3.txt;37139;4002
board_7_7_4_4.txt;6;18
board_7_7_4_5.txt;494;35
board_7_7_4_6.txt;50339;2717
board_7_7_4_7.txt;27560;2664
board_7_7_4_8.txt;14124;2169
board_7_7_4_9.txt;5154;1212
board_7_7_4_10.txt;10;10
