Boardname;BigSmall Trial Count;OneFirst Trial count
board_7_8_1_1.txt;377575;181
board_7_8_1_2.txt;2821;584
board_7_8_1_3.txt;131481;575
board_7_8_1_4.txt;580610;247
board_7_8_1_5.txt;50962;1366
board_7_8_1_6.txt;32808;389
board_7_8_1_7.txt;29224;650
board_7_8_1_8.txt;68993;804
board_7_8_1_9.txt;105260;568
board_7_8_1_10.txt;268221;1650
board_7_8_1_11.txt;139346;5234
board_7_8_1_12.txt;198527;12055
board_7_8_1_13.txt;251486;504
board_7_8_1_14.txt;83125;152
board_7_8_1_15.txt;475097;427
board_7_8_1_16.txt;33937;802
board_7_8_1_17.txt;380184;120
board_7_8_1_18.txt;23;44
board_7_8_1_19.txt;75;53
board_7_8_1_20.txt;185685;1327
board_7_8_1_21.txt;204324;452
board_7_8_1_22.txt;285352;841
board_7_8_1_23.txt;83501;2190
board_7_8_1_24.txt;302764;25
board_7_8_1_25.txt;68400;41
board_7_8_1_26.txt;147369;3379
board_7_8_1_27.txt;103593;880
board_7_8_1_28.txt;181811;520
board_7_8_1_29.txt;63346;1442
board_7_8_1_30.txt;160814;631
board_7_8_1_31.txt;144784;21486
board_7_8_1_32.txt;126120;2379
board_7_8_1_33.txt;197180;907
board_7_8_1_34.txt;292567;1679
board_7_8_1_35.txt;6075;806
board_7_8_1_36.txt;77791;1412
board_7_8_1_37.txt;7;11205
board_7_8_1_38.txt;218979;10043
board_7_8_1_39.txt;16838;32
board_7_8_1_40.txt;148388;8094
board_7_8_1_41.txt;133611;2996
board_7_8_1_42.txt;59412;1722
board_7_8_1_43.txt;55525;123
board_7_8_1_44.txt;28271;70
board_7_8_1_45.txt;256503;1981
board_7_8_1_46.txt;89063;518
board_7_8_1_47.txt;246960;1750
board_7_8_1_48.txt;274970;1151
board_7_8_1_49.txt;73465;29
board_7_8_1_50.txt;196212;1312
board_7_8_1_51.txt;333250;31
board_7_8_1_52.txt;13551;580
board_7_8_1_53.txt;382032;1980
board_7_8_1_54.txt;164137;2274
board_7_8_1_55.txt;2635;7068
board_7_8_1_56.txt;145246;1061
board_7_8_1_57.txt;189934;1154
board_7_8_1_58.txt;130075;1138
board_7_8_1_59.txt;56508;149
board_7_8_1_60.txt;82893;5530
board_7_8_1_61.txt;37056;4369
board_7_8_1_62.txt;184919;249
board_7_8_1_63.txt;199179;577
board_7_8_1_64.txt;2447;42
board_7_8_1_65.txt;108419;907
board_7_8_1_66.txt;1159;152
board_7_8_1_67.txt;27821;138
board_7_8_1_68.txt;160372;1753
board_7_8_1_69.txt;91888;1783
board_7_8_1_70.txt;66555;873
board_7_8_2_1.txt;227559;821
board_7_8_2_2.txt;258120;712
board_7_8_2_3.txt;290684;2281
board_7_8_2_4.txt;134;700
board_7_8_2_5.txt;371954;1286
board_7_8_2_6.txt;43414;1509
board_7_8_2_7.txt;116522;6009
board_7_8_2_8.txt;213789;4450
board_7_8_2_9.txt;417899;853
board_7_8_2_10.txt;294636;756
board_7_8_2_11.txt;280586;2580
board_7_8_2_12.txt;224939;9158
board_7_8_2_13.txt;84391;930
board_7_8_2_14.txt;446277;4639
board_7_8_2_15.txt;220331;880
board_7_8_2_16.txt;360023;171
board_7_8_2_17.txt;29479;3922
board_7_8_2_18.txt;157813;1096
board_7_8_2_19.txt;142700;1247
board_7_8_2_20.txt;305483;2029
board_7_8_2_21.txt;503956;28687
board_7_8_2_22.txt;220288;20
board_7_8_2_23.txt;489024;374
board_7_8_2_24.txt;55423;1060
board_7_8_2_25.txt;9;33
board_7_8_2_26.txt;80119;752
board_7_8_2_27.txt;61801;100
board_7_8_2_28.txt;176878;11223
board_7_8_2_29.txt;28;137
board_7_8_2_30.txt;127743;1359
board_7_8_2_31.txt;242173;745
board_7_8_2_32.txt;607723;2973
board_7_8_2_33.txt;21889;591
board_7_8_2_34.txt;602173;3182
board_7_8_2_35.txt;261441;14634
board_7_8_2_36.txt;189587;51
board_7_8_2_37.txt;5259;1119
board_7_8_2_38.txt;280212;17131
board_7_8_2_39.txt;14831;31
board_7_8_2_40.txt;77352;6051
board_7_8_2_41.txt;387226;2442
board_7_8_2_42.txt;14009;847
board_7_8_2_43.txt;139957;8065
board_7_8_2_44.txt;252;607
board_7_8_2_45.txt;788;272
board_7_8_2_46.txt;70255;219
board_7_8_2_47.txt;56;177
board_7_8_2_48.txt;239480;230
board_7_8_2_49.txt;476530;11741
board_7_8_2_50.txt;223607;3047
board_7_8_2_51.txt;233273;6561
board_7_8_2_52.txt;291045;1489
board_7_8_2_53.txt;1150015;1013
board_7_8_2_54.txt;392427;2735
board_7_8_2_55.txt;111492;12251
board_7_8_2_56.txt;98710;550
board_7_8_2_57.txt;1963;12810
board_7_8_2_58.txt;319407;8462
board_7_8_2_59.txt;66;544
board_7_8_2_60.txt;35117;663
board_7_8_2_61.txt;175415;6813
board_7_8_2_62.txt;494229;37128
board_7_8_2_63.txt;336883;1113
board_7_8_2_64.txt;293616;1305
board_7_8_2_65.txt;119;633
board_7_8_2_66.txt;49055;994
board_7_8_2_67.txt;153209;8583
board_7_8_2_68.txt;201487;130
board_7_8_2_69.txt;56627;13
board_7_8_2_70.txt;317400;360
board_7_8_3_1.txt;452689;6040
board_7_8_3_2.txt;603260;3405
board_7_8_3_3.txt;688491;828
board_7_8_3_4.txt;282471;19592
board_7_8_3_5.txt;256899;17986
board_7_8_3_6.txt;182353;1149
board_7_8_3_7.txt;52241;78
board_7_8_3_8.txt;212194;4779
board_7_8_3_9.txt;127681;2399
board_7_8_3_10.txt;17134;552
board_7_8_3_11.txt;293424;17407
board_7_8_3_12.txt;31800;1096
board_7_8_3_13.txt;129811;3598
board_7_8_3_14.txt;109929;18331
board_7_8_3_15.txt;230325;10489
board_7_8_3_16.txt;98;7
board_7_8_3_17.txt;221618;836
board_7_8_3_18.txt;131;9
board_7_8_3_19.txt;578614;1032
board_7_8_3_20.txt;312880;12763
board_7_8_3_21.txt;291718;3024
board_7_8_3_22.txt;68374;1001
board_7_8_3_23.txt;665905;28314
board_7_8_3_24.txt;560219;1972
board_7_8_3_25.txt;302859;3286
board_7_8_3_26.txt;212608;3995
board_7_8_3_27.txt;7;9
board_7_8_3_28.txt;76878;116
board_7_8_3_29.txt;64163;1029
board_7_8_3_30.txt;194206;879
board_7_8_3_31.txt;230325;12183
board_7_8_3_32.txt;199927;17634
board_7_8_3_33.txt;199979;10173
board_7_8_3_34.txt;174181;467
board_7_8_3_35.txt;380524;17988
board_7_8_3_36.txt;239917;10758
board_7_8_3_37.txt;486912;30150
board_7_8_3_38.txt;100855;3096
board_7_8_3_39.txt;175;350
board_7_8_3_40.txt;164503;2286
board_7_8_3_41.txt;273474;11328
board_7_8_3_42.txt;224781;735
board_7_8_3_43.txt;57066;1690
board_7_8_3_44.txt;2304;24
board_7_8_3_45.txt;235756;11485
board_7_8_4_1.txt;14682;3427
board_7_8_4_2.txt;390244;4071
board_7_8_4_3.txt;1192733;52430
board_7_8_4_4.txt;73719;912
board_7_8_4_5.txt;882528;39796
board_7_8_4_6.txt;1005597;47983
board_7_8_4_7.txt;489632;5250
board_7_8_4_8.txt;367058;2428
board_7_8_4_9.txt;499552;17168
board_7_8_4_10.txt;50215;17796
