Boardname;BigSmall Trial Count;OneFirst Trial count;Szint (1,2)
board_6_7_1_1.txt;6939;163;1
board_6_8_1_13.txt;1247;163;1
board_6_6_2_1.txt;343;167;1
board_6_8_2_17.txt;17875;168;1
board_6_7_2_25.txt;2132;170;1
board_7_8_2_16.txt;360023;171;1
board_6_8_3_16.txt;1773;176;1
board_6_6_4_8.txt;665;177;1
board_7_8_2_47.txt;56;177;1
board_7_8_1_1.txt;377575;181;1
board_6_7_1_2.txt;848;183;1
board_6_7_1_23.txt;83;183;1
board_6_8_2_8.txt;9820;189;1
board_6_8_2_24.txt;25602;190;1
board_6_8_1_26.txt;594;192;1
board_6_8_2_34.txt;32703;194;1
board_6_7_1_42.txt;1814;197;1
board_6_7_3_8.txt;416;197;1
board_7_7_3_7.txt;973;197;1
board_6_7_1_14.txt;220;200;1
board_6_7_3_6.txt;1528;204;1
board_6_7_2_7.txt;303;205;1
board_6_7_2_12.txt;937;209;1
board_6_7_2_22.txt;8024;211;1
board_6_7_1_31.txt;2021;213;1
board_6_8_1_27.txt;21915;215;1
board_6_8_2_16.txt;32344;215;1
board_6_6_4_12.txt;503;218;1
board_7_8_2_46.txt;70255;219;1
board_6_7_1_13.txt;3004;221;1
board_6_7_1_4.txt;3785;224;1
board_6_8_1_39.txt;5739;224;1
board_6_7_1_47.txt;4974;226;1
board_6_7_3_5.txt;929;227;1
board_6_7_1_41.txt;756;230;1
board_7_8_2_48.txt;239480;230;1
board_6_7_1_10.txt;2311;231;1
board_6_8_1_23.txt;870;231;1
board_6_6_4_2.txt;810;233;1
board_6_7_1_32.txt;2305;233;1
board_6_7_2_24.txt;2962;233;1
board_6_7_1_9.txt;5101;236;1
board_6_7_2_10.txt;1921;237;1
board_6_7_1_7.txt;7816;238;1
board_7_8_1_4.txt;580610;247;1
board_6_7_1_28.txt;28;249;1
board_7_8_1_62.txt;184919;249;1
board_6_7_1_44.txt;8927;252;1
board_6_8_1_36.txt;15;253;1
board_6_7_1_12.txt;62;266;1
board_6_7_1_40.txt;3959;269;1
board_7_8_2_45.txt;788;272;1
board_6_7_2_9.txt;2607;275;1
board_6_7_2_26.txt;8355;276;1
board_6_7_1_17.txt;711;282;1
board_6_8_1_9.txt;1667;284;1
board_6_7_2_23.txt;2424;292;1
board_6_7_2_21.txt;1508;296;1
board_6_7_2_13.txt;10;299;1
board_6_8_1_40.txt;3546;304;1
board_6_7_1_3.txt;11845;306;1
board_6_6_4_7.txt;1118;308;1
board_6_7_2_14.txt;2333;310;1
board_6_6_4_6.txt;1057;312;1
board_6_7_2_30.txt;5502;322;1
board_6_8_2_7.txt;346;333;1
board_6_7_3_4.txt;23393;337;1
board_7_7_3_6.txt;14908;349;1
board_7_8_3_39.txt;175;350;1
board_6_7_4_3.txt;400;351;1
board_7_8_2_70.txt;317400;360;1
board_6_7_2_18.txt;2619;372;1
board_7_8_2_23.txt;489024;374;1
board_6_8_3_2.txt;6341;382;1
board_6_8_1_25.txt;13;387;1
board_7_8_1_6.txt;32808;389;1
board_6_7_2_8.txt;5527;390;1
board_6_8_2_35.txt;1058;401;1
board_6_7_4_8.txt;5810;411;1
board_6_8_1_29.txt;2203;421;1
board_6_7_4_5.txt;8123;427;1
board_7_8_1_15.txt;475097;427;1
board_6_7_2_3.txt;11249;435;1
board_6_7_4_7.txt;4536;450;1
board_7_8_1_21.txt;204324;452;1
board_7_8_3_34.txt;174181;467;1
board_6_7_3_7.txt;3591;470;1
board_6_8_2_10.txt;16155;475;1
board_6_8_2_19.txt;3698;497;1
board_7_8_1_13.txt;251486;504;2
board_6_8_2_26.txt;21074;507;2
board_6_8_1_10.txt;42561;509;2
board_6_8_1_35.txt;11250;517;2
board_7_8_1_46.txt;89063;518;2
board_7_8_1_28.txt;181811;520;2
board_6_8_3_10.txt;8855;523;2
board_6_7_2_28.txt;4932;536;2
board_7_8_2_59.txt;66;544;2
board_7_8_2_56.txt;98710;550;2
board_7_8_3_10.txt;17134;552;2
board_6_8_3_11.txt;4667;566;2
board_7_8_1_9.txt;105260;568;2
board_7_8_1_3.txt;131481;575;2
board_6_8_1_41.txt;921;576;2
board_7_8_1_63.txt;199179;577;2
board_7_8_1_52.txt;13551;580;2
board_7_8_1_2.txt;2821;584;2
board_6_7_2_2.txt;1608;586;2
board_6_7_4_6.txt;1468;589;2
board_7_8_2_33.txt;21889;591;2
board_6_8_1_33.txt;20580;592;2
board_6_8_2_11.txt;640;600;2
board_6_8_1_28.txt;17947;603;2
board_7_8_2_44.txt;252;607;2
board_7_7_3_2.txt;24607;608;2
board_6_8_1_15.txt;18049;630;2
board_7_8_1_30.txt;160814;631;2
board_7_8_2_65.txt;119;633;2
board_7_8_1_7.txt;29224;650;2
board_6_8_1_44.txt;21345;652;2
board_7_8_2_60.txt;35117;663;2
board_7_7_2_8.txt;2855;670;2
board_6_8_1_43.txt;17199;692;2
board_7_8_2_4.txt;134;700;2
board_6_8_1_11.txt;25247;702;2
board_6_8_2_2.txt;5214;707;2
board_7_8_2_2.txt;258120;712;2
board_6_8_1_14.txt;12266;717;2
board_7_8_3_42.txt;224781;735;2
board_6_8_2_27.txt;48;740;2
board_7_8_2_31.txt;242173;745;2
board_6_8_2_39.txt;21305;751;2
board_7_8_2_26.txt;80119;752;2
board_7_8_2_10.txt;294636;756;2
board_6_8_1_32.txt;16;758;2
board_6_8_2_1.txt;6;783;2
board_7_8_1_16.txt;33937;802;2
board_6_8_1_3.txt;2927;804;2
board_7_8_1_8.txt;68993;804;2
board_7_8_1_35.txt;6075;806;2
board_6_8_1_49.txt;17533;817;2
board_7_8_2_1.txt;227559;821;2
board_7_8_3_3.txt;688491;828;2
board_6_8_1_18.txt;15850;835;2
board_7_8_3_17.txt;221618;836;2
board_7_8_1_22.txt;285352;841;2
board_7_8_2_42.txt;14009;847;2
board_7_8_2_9.txt;417899;853;2
board_6_8_1_1.txt;13039;860;2
board_7_8_1_70.txt;66555;873;2
board_7_8_3_30.txt;194206;879;2
board_7_8_1_27.txt;103593;880;2
board_7_8_2_15.txt;220331;880;2
board_6_8_2_20.txt;3343;887;2
board_7_8_1_33.txt;197180;907;2
board_7_8_1_65.txt;108419;907;2
board_7_8_4_4.txt;73719;912;2
board_6_7_3_11.txt;11900;918;2
board_7_8_2_13.txt;84391;930;2
board_6_8_1_37.txt;7963;979;2
board_6_8_2_33.txt;33032;988;2
board_7_8_2_66.txt;49055;994;2
board_7_8_3_22.txt;68374;1001;2
board_7_8_2_53.txt;1150015;1013;2
board_7_8_3_29.txt;64163;1029;2
board_7_8_3_19.txt;578614;1032;2
board_7_7_4_1.txt;68948;1040;2
board_6_8_2_4.txt;4551;1045;2
board_7_8_2_24.txt;55423;1060;2
board_7_8_1_56.txt;145246;1061;2
board_7_8_2_18.txt;157813;1096;2
board_7_8_3_12.txt;31800;1096;2
board_6_8_1_46.txt;3187;1108;2
board_7_8_2_63.txt;336883;1113;2
board_7_8_2_37.txt;5259;1119;2
board_6_8_1_6.txt;7709;1129;2
board_7_8_1_58.txt;130075;1138;2
board_7_8_3_6.txt;182353;1149;2
board_7_8_1_48.txt;274970;1151;2
board_7_8_1_57.txt;189934;1154;2
board_6_7_2_29.txt;3604;1163;2
board_6_7_3_12.txt;5733;1189;2
board_7_7_4_9.txt;5154;1212;2
board_7_7_1_4.txt;6334;1214;2
board_6_8_2_23.txt;4074;1218;2
board_6_8_1_21.txt;20065;1230;2
board_7_8_2_19.txt;142700;1247;2
board_7_8_2_5.txt;371954;1286;2
board_7_8_2_64.txt;293616;1305;2
board_7_8_1_50.txt;196212;1312;2
board_7_7_3_1.txt;16070;1316;2
board_6_8_1_17.txt;6614;1327;2
board_7_8_1_20.txt;185685;1327;2
board_6_8_1_16.txt;179;1339;2
