Boardname;BigSmall Trial Count;OneFirst Trial count
board_6_7_1_1.txt;6939;163
board_6_7_1_2.txt;848;183
board_6_7_1_3.txt;11845;306
board_6_7_1_4.txt;3785;224
board_6_7_1_5.txt;34;118
board_6_7_1_6.txt;952;48
board_6_7_1_7.txt;7816;238
board_6_7_1_8.txt;1928;12
board_6_7_1_9.txt;5101;236
board_6_7_1_10.txt;2311;231
board_6_7_1_11.txt;2798;34
board_6_7_1_12.txt;62;266
board_6_7_1_13.txt;3004;221
board_6_7_1_14.txt;220;200
board_6_7_1_15.txt;19;110
board_6_7_1_16.txt;6;37
board_6_7_1_17.txt;711;282
board_6_7_1_18.txt;34;103
board_6_7_1_19.txt;3783;91
board_6_7_1_20.txt;1434;1726
board_6_7_1_21.txt;110;37
board_6_7_1_22.txt;4994;32
board_6_7_1_23.txt;83;183
board_6_7_1_24.txt;4589;64
board_6_7_1_25.txt;3650;24
board_6_7_1_26.txt;7997;75
board_6_7_1_27.txt;741;127
board_6_7_1_28.txt;28;249
board_6_7_1_29.txt;260;140
board_6_7_1_30.txt;7;128
board_6_7_1_31.txt;2021;213
board_6_7_1_32.txt;2305;233
board_6_7_1_33.txt;1776;44
board_6_7_1_34.txt;843;32
board_6_7_1_35.txt;15099;28
board_6_7_1_36.txt;84;63
board_6_7_1_37.txt;46;45
board_6_7_1_38.txt;3362;109
board_6_7_1_39.txt;1604;83
board_6_7_1_40.txt;3959;269
board_6_7_1_41.txt;756;230
board_6_7_1_42.txt;1814;197
board_6_7_1_43.txt;24;142
board_6_7_1_44.txt;8927;252
board_6_7_1_45.txt;939;11
board_6_7_1_46.txt;1849;134
board_6_7_1_47.txt;4974;226
board_6_7_1_48.txt;1788;46
board_6_7_1_49.txt;4292;18
board_6_7_1_50.txt;1060;9
board_6_7_2_1.txt;7448;34
board_6_7_2_2.txt;1608;586
board_6_7_2_3.txt;11249;435
board_6_7_2_4.txt;8355;110
board_6_7_2_5.txt;4601;81
board_6_7_2_6.txt;8299;45
board_6_7_2_7.txt;303;205
board_6_7_2_8.txt;5527;390
board_6_7_2_9.txt;2607;275
board_6_7_2_10.txt;1921;237
board_6_7_2_11.txt;4846;14
board_6_7_2_12.txt;937;209
board_6_7_2_13.txt;10;299
board_6_7_2_14.txt;2333;310
board_6_7_2_15.txt;4676;14
board_6_7_2_16.txt;53;31
board_6_7_2_17.txt;1079;70
board_6_7_2_18.txt;2619;372
board_6_7_2_19.txt;15767;14
board_6_7_2_20.txt;4242;12
board_6_7_2_21.txt;1508;296
board_6_7_2_22.txt;8024;211
board_6_7_2_23.txt;2424;292
board_6_7_2_24.txt;2962;233
board_6_7_2_25.txt;2132;170
board_6_7_2_26.txt;8355;276
board_6_7_2_27.txt;1336;100
board_6_7_2_28.txt;4932;536
board_6_7_2_29.txt;3604;1163
board_6_7_2_30.txt;5502;322
board_6_7_3_1.txt;3877;1818
board_6_7_3_2.txt;693;73
board_6_7_3_3.txt;320;88
board_6_7_3_4.txt;23393;337
board_6_7_3_5.txt;929;227
board_6_7_3_6.txt;1528;204
board_6_7_3_7.txt;3591;470
board_6_7_3_8.txt;416;197
board_6_7_3_9.txt;258;31
board_6_7_3_10.txt;7557;19
board_6_7_3_11.txt;11900;918
board_6_7_3_12.txt;5733;1189
board_6_7_4_1.txt;15243;1985
board_6_7_4_2.txt;243;112
board_6_7_4_3.txt;400;351
board_6_7_4_4.txt;199;40
board_6_7_4_5.txt;8123;427
board_6_7_4_6.txt;1468;589
board_6_7_4_7.txt;4536;450
board_6_7_4_8.txt;5810;411
